Hostname,ManagementIp,HwSku,Type,Protocol,Os
str5-7060x6-pe64-root,10.64.247.160/25,Arista-7060X6-64PE,FanoutRoot,,
str5-7260cx3-acs-root,10.64.247.161/25,Arista-7260CX3-64,FanoutRoot,,
str5-acs-serv-91,10.64.247.191/25,TestServ,Server,,
str5-acs-serv-92,10.64.247.192/25,TestServ,Server,,
str5-acs-serv-93,10.64.247.193/25,TestServ,Server,,
str5-acs-serv-94,10.64.247.194/25,TestServ,Server,,
str5-acs-serv-95,10.64.247.195/25,TestServ,Server,,
str5-acs-serv-96,10.64.247.196/25,TestServ,Server,,
str5-acs-serv-98,10.64.247.198/25,TestServ,Server,,
str5-acs-serv-99,10.64.247.199/25,TestServ,Server,,
str5-7060x6-64pe-shared-fan-1,10.64.247.25/26,Arista-7060X6-64PE-C256S2,FanoutLeafSonic,,sonic
str5-7060x6-512-3,10.64.247.131/25,Arista-7060X6-64PE-B-C512S2,DevSonic,,sonic
str5-7060x6-512-fan-3,10.64.247.132/25,Arista-7060X6-64PE-B-C512S2,FanoutLeafSonic,,sonic
str5-7060x6-512-4,10.64.247.133/25,Arista-7060X6-64PE-B-O128,DevSonic,,sonic
str5-7060x6-512-fan-4,10.64.247.134/25,Arista-7060X6-64PE-B-O128,FanoutLeafSonic,,sonic
str5-7060x6-512-5,10.64.247.135/25,Arista-7060X6-64PE-B-C512S2,DevSonic,,sonic
str5-7060x6-512-fan-5,10.64.247.136/25,Arista-7060X6-64PE-B-C512S2,FanoutLeafSonic,,sonic
str5-7060x6-512-6,10.64.247.146/25,Arista-7060X6-64PE-B-O128,DevSonic,,sonic
str5-7060x6-512-fan-6,10.64.247.147/25,Arista-7060X6-64PE-B-O128,FanoutLeafSonic,,sonic
str5-7060x6-512-8,10.64.247.172/25,Arista-7060X6-64PE-B-C512S2,DevSonic,,sonic
str5-7060x6-512-fan-8,10.64.247.173/25,Arista-7060X6-64PE-B-C512S2,FanoutLeafSonic,,sonic
str5-7060x6-moby-512-1,10.64.247.36/26,Arista-7060X6-16PE-384C-O128S2,DevSonic,,sonic
str5-7060x6-moby-512-fan-1,10.64.247.37/26,Arista-7060X6-16PE-384C-B-O128S2-FANOUT,FanoutLeafSonic,,sonic
str5-7060x6-moby-512-2,10.64.247.119/26,Arista-7060X6-16PE-384C-B-O128S2,DevSonic,,sonic
str5-7060x6-moby-512-fan-2,10.64.247.120/26,Arista-7060X6-16PE-384C-B-O128S2-FANOUT,FanoutLeafSonic,,sonic
